file,template,sample,words,unique_words,chars,chars_nospace,lines,digits
template_1_sample_1.txt,1,1,304,200,2217,1908,19,139
template_1_sample_2.txt,1,2,231,170,1625,1388,21,110
template_1_sample_3.txt,1,3,343,222,2414,2063,25,115
template_1_sample_4.txt,1,4,305,205,2116,1810,28,101
template_1_sample_5.txt,1,5,295,199,2170,1874,29,107
template_1_sample_6.txt,1,6,283,205,1950,1666,27,104
template_1_sample_7.txt,1,7,289,195,1918,1627,23,138
template_1_sample_8.txt,1,8,318,221,2247,1927,24,110
template_2_sample_1.txt,2,1,348,227,2519,2155,37,178
template_2_sample_2.txt,2,2,280,194,1968,1686,29,116
template_2_sample_3.txt,2,3,252,188,1899,1637,35,112
template_2_sample_4.txt,2,4,288,202,2037,1740,38,131
template_2_sample_5.txt,2,5,288,204,1992,1695,32,120
template_2_sample_6.txt,2,6,246,186,1765,1508,30,123
template_2_sample_7.txt,2,7,217,166,1696,1469,35,111
template_2_sample_8.txt,2,8,286,206,1972,1675,40,140
template_3_sample_1.txt,3,1,344,235,2220,1868,28,81
template_3_sample_2.txt,3,2,410,243,2547,2135,21,44
template_3_sample_3.txt,3,3,227,170,1500,1271,16,45
template_3_sample_4.txt,3,4,379,258,2616,2234,20,59
template_3_sample_5.txt,3,5,249,176,1633,1380,18,53
template_3_sample_6.txt,3,6,322,227,2243,1917,22,52
template_3_sample_7.txt,3,7,271,195,1740,1465,18,52
template_3_sample_8.txt,3,8,374,256,2365,1987,24,48
template_4_sample_1.txt,4,1,338,248,2323,1986,33,99
template_4_sample_2.txt,4,2,335,247,2408,2074,34,79
template_4_sample_3.txt,4,3,359,270,2523,2165,33,79
template_4_sample_4.txt,4,4,359,262,2487,2129,33,82
template_4_sample_5.txt,4,5,367,251,2437,2071,28,58
template_4_sample_6.txt,4,6,261,198,1839,1579,29,64
template_4_sample_7.txt,4,7,240,181,1671,1422,30,61
template_4_sample_8.txt,4,8,222,177,1478,1255,30,78
template_5_sample_1.txt,5,1,144,123,970,819,33,110
template_5_sample_2.txt,5,2,127,118,866,736,31,83
template_5_sample_3.txt,5,3,159,140,1073,909,37,110
template_5_sample_4.txt,5,4,153,124,1005,849,32,98
template_5_sample_5.txt,5,5,147,128,1012,861,33,84
template_5_sample_6.txt,5,6,151,138,1022,867,33,103
template_5_sample_7.txt,5,7,128,113,830,693,29,70
template_5_sample_8.txt,5,8,138,124,900,763,31,87
template_6_sample_1.txt,6,1,265,178,1872,1608,20,72
template_6_sample_2.txt,6,2,190,141,1431,1237,17,67
template_6_sample_3.txt,6,3,188,138,1435,1242,18,62
template_6_sample_4.txt,6,4,261,173,1808,1546,29,89
template_6_sample_5.txt,6,5,247,162,1867,1619,26,77
template_6_sample_6.txt,6,6,253,177,1911,1647,24,83
template_6_sample_7.txt,6,7,179,119,1387,1203,18,62
template_6_sample_8.txt,6,8,244,168,1764,1515,18,71
template_7_sample_1.txt,7,1,165,126,1252,1077,26,89
template_7_sample_2.txt,7,2,171,137,1202,1023,24,85
template_7_sample_3.txt,7,3,174,131,1250,1071,24,82
template_7_sample_4.txt,7,4,210,152,1446,1231,22,84
template_7_sample_5.txt,7,5,163,117,1096,928,22,81
template_7_sample_6.txt,7,6,196,149,1340,1137,25,93
template_7_sample_7.txt,7,7,167,134,1145,971,24,92
template_7_sample_8.txt,7,8,165,125,1209,1038,23,82
template_8_sample_1.txt,8,1,223,154,1463,1237,20,61
template_8_sample_2.txt,8,2,222,161,1490,1267,20,64
template_8_sample_3.txt,8,3,202,146,1292,1090,21,61
template_8_sample_4.txt,8,4,201,146,1296,1094,21,59
template_8_sample_5.txt,8,5,213,152,1378,1165,21,64
template_8_sample_6.txt,8,6,228,158,1443,1215,21,64
template_8_sample_7.txt,8,7,218,153,1421,1203,21,60
template_8_sample_8.txt,8,8,200,148,1332,1130,22,61
template_9_sample_1.txt,9,1,138,106,961,824,50,50
template_9_sample_2.txt,9,2,170,125,1192,1022,62,52
template_9_sample_3.txt,9,3,153,101,1094,941,54,44
template_9_sample_4.txt,9,4,160,120,1110,950,54,51
template_9_sample_5.txt,9,5,142,106,1022,880,50,44
