Template,N,Words — Mean (SD),"Words — Median [Q1, Q3]",Unique words — Mean (SD),"Unique words — Median [Q1, Q3]",Characters — Mean (SD),"Characters — Median [Q1, Q3]",Characters (no space) — Mean (SD),"Characters (no space) — Median [Q1, Q3]",Lines — Mean (SD),"Lines — Median [Q1, Q3]",Digits — Mean (SD),"Digits — Median [Q1, Q3]"
1,8,296.0 (32.3),"300 [288, 308]",202.1 (16.3),"202 [198, 209]",2082.1 (244.3),"2143 [1942, 2224]",1782.9 (213.1),"1842 [1656, 1913]",24.5 (3.5),"24 [22, 27]",115.5 (14.8),"110 [106, 121]"
2,8,275.6 (38.8),"283 [250, 288]",196.6 (17.8),"198 [188, 204]",1981.0 (247.1),"1970 [1866, 2003]",1695.6 (208.2),"1680 [1605, 1706]",34.5 (3.9),"35 [32, 37]",128.9 (22.1),"122 [115, 133]"
3,8,322.0 (66.7),"333 [266, 375]",220.0 (35.1),"231 [190, 246]",2108.0 (427.3),"2232 [1713, 2410]",1782.1 (362.5),"1892 [1444, 2024]",20.9 (3.8),"20 [18, 22]",54.2 (11.8),"52 [47, 54]"
4,8,310.1 (59.2),"336 [256, 359]",229.2 (37.6),"248 [194, 254]",2145.8 (415.6),"2366 [1797, 2450]",1835.1 (359.3),"2028 [1540, 2088]",31.2 (2.3),"32 [30, 33]",75.0 (13.5),"78 [63, 80]"
5,8,143.4 (11.6),"146 [136, 152]",126.0 (9.2),"124 [122, 130]",959.8 (85.2),"988 [892, 1014]",812.1 (74.2),"834 [756, 862]",32.4 (2.3),"32 [31, 33]",93.1 (14.4),"92 [84, 105]"
6,8,228.4 (36.1),"246 [190, 255]",157.0 (21.7),"165 [140, 174]",1684.4 (225.6),"1786 [1434, 1868]",1452.1 (191.0),"1530 [1241, 1611]",21.2 (4.5),"19 [18, 24]",72.9 (9.7),"72 [66, 78]"
7,8,176.4 (17.2),"169 [165, 180]",133.9 (12.0),"132 [126, 140]",1242.5 (110.1),"1230 [1188, 1274]",1059.5 (94.7),"1054 [1010, 1092]",23.8 (1.4),"24 [23, 24]",86.0 (4.7),"84 [82, 90]"
8,8,213.4 (11.1),"216 [202, 222]",152.2 (5.5),"152 [148, 155]",1389.4 (76.6),"1400 [1323, 1448]",1175.1 (66.1),"1184 [1121, 1220]",20.9 (0.6),"21 [21, 21]",61.8 (2.0),"61 [61, 64]"
9,8,151.1 (22.3),"155 [141, 162]",111.8 (13.3),"113 [105, 121]",1073.2 (158.1),"1102 [1007, 1140]",922.2 (135.8),"946 [866, 980]",53.5 (7.8),"54 [50, 59]",48.1 (6.4),"50 [44, 52]"
10,8,117.1 (4.5),"118 [116, 120]",73.0 (3.2),"74 [72, 75]",713.9 (34.0),"713 [695, 727]",590.4 (30.3),"590 [572, 602]",40.5 (1.7),"40 [40, 42]",79.6 (3.1),"80 [78, 82]"
11,8,168.0 (1.5),"168 [167, 169]",119.0 (1.9),"120 [119, 120]",1117.9 (4.5),"1116 [1116, 1120]",936.9 (3.2),"936 [936, 938]",130.0 (0.0),"130 [130, 130]",353.8 (0.7),"354 [354, 354]"
12,8,127.2 (6.8),"126 [123, 128]",95.0 (2.4),"96 [93, 97]",841.4 (24.4),"834 [828, 850]",701.2 (18.2),"694 [692, 708]",75.0 (0.0),"75 [75, 75]",205.1 (3.4),"206 [203, 208]"
13,8,164.2 (2.8),"164 [162, 166]",126.5 (2.2),"126 [125, 128]",1003.4 (11.9),"1000 [995, 1010]",834.1 (10.4),"830 [828, 841]",66.0 (0.0),"66 [66, 66]",70.5 (2.2),"70 [69, 72]"
14,8,213.1 (5.0),"213 [210, 217]",150.8 (4.4),"150 [149, 152]",1336.6 (52.3),"1332 [1319, 1339]",1081.2 (47.9),"1078 [1062, 1082]",58.0 (0.0),"58 [58, 58]",46.2 (1.8),"46 [46, 46]"
15,8,111.2 (2.4),"112 [109, 113]",87.6 (2.3),"87 [86, 89]",593.9 (8.4),"594 [590, 601]",483.6 (8.4),"483 [480, 489]",56.5 (2.1),"58 [54, 58]",144.4 (3.5),"143 [143, 143]"
16,8,182.4 (6.0),"182 [177, 185]",151.8 (6.5),"152 [146, 155]",1388.4 (56.3),"1386 [1337, 1418]",1181.0 (50.1),"1178 [1136, 1206]",26.0 (0.0),"26 [26, 26]",16.2 (3.0),"16 [14, 19]"
Overall,128,200.0 (72.4),"178 [150, 241]",145.8 (47.8),"140 [118, 171]",1353.8 (527.6),"1294 [995, 1677]",1145.3 (457.2),"1076 [828, 1433]",44.7 (28.1),"33 [25, 58]",103.2 (78.8),"80 [59, 115]"
