document_id,template,sample,rotate_degree,condition,font color,fonts,Clarity Level,note
template_1_sample_1_norm,1,1,0,scan,black,Aptos (Body),Clear,
template_1_sample_2_norm,1,2,0,scan,black,Aptos (Body),Clear,
template_1_sample_3_norm,1,3,0,scan,black,Aptos (Body),Clear,
template_1_sample_4_norm,1,4,0,scan,black,Aptos (Body),Clear,
template_1_sample_5_norm,1,5,0,scan,black,Aptos (Body),Clear,
template_1_sample_6_norm,1,6,0,scan,black,Aptos (Body),Clear,
template_1_sample_7_norm,1,7,0,scan,black,Aptos (Body),Clear,
template_1_sample_8_norm,1,8,0,scan,black,Aptos (Body),Clear,
template_2_sample_1_norm,2,1,0,scan,black,Aptos (Body),Clear,
template_2_sample_2_norm,2,2,0,scan,black,Aptos (Body),Clear,
template_2_sample_3_norm,2,3,0,scan,black,Aptos (Body),Clear,
template_2_sample_4_norm,2,4,0,scan,black,Aptos (Body),Clear,
template_2_sample_5_norm,2,5,0,scan,black,Aptos (Body),Clear,
template_2_sample_6_norm,2,6,0,scan,black,Aptos (Body),Clear,
template_2_sample_7_norm,2,7,0,scan,black,Aptos (Body),Clear,
template_2_sample_8_norm,2,8,0,scan,black,Aptos (Body),Clear,
template_3_sample_1_norm,3,1,0,scan,black,Aptos (Body),Clear,
template_3_sample_2_norm,3,2,0,scan,black,Aptos (Body),Clear,
template_3_sample_3_norm,3,3,0,scan,black,Aptos (Body),Clear,
template_3_sample_4_norm,3,4,0,scan,black,Aptos (Body),Clear,
template_3_sample_5_norm,3,5,0,scan,black,Aptos (Body),Clear,
template_3_sample_6_norm,3,6,0,scan,black,Aptos (Body),Clear,
template_3_sample_7_norm,3,7,0,scan,black,Aptos (Body),Clear,
template_3_sample_8_norm,3,8,0,scan,black,Aptos (Body),Clear,
template_4_sample_1_norm,4,1,0,scan,black,Aptos (Body),Clear,
template_4_sample_2_norm,4,2,0,scan,black,Aptos (Body),Clear,
template_4_sample_3_norm,4,3,0,scan,black,Aptos (Body),Clear,
template_4_sample_4_norm,4,4,0,scan,black,Aptos (Body),Clear,
template_4_sample_5_norm,4,5,0,scan,black,Aptos (Body),Clear,
template_4_sample_6_norm,4,6,0,scan,black,Aptos (Body),Clear,
template_4_sample_7_norm,4,7,0,scan,black,Aptos (Body),Clear,
