subset,template,sample,role,homo_template,homo_sample,hetero_template,hetero_sample
normal,1,1,exemplar,,,,
normal,1,2,eval,1,1,2,1
normal,1,3,eval,1,1,3,1
normal,1,4,eval,1,1,4,1
normal,1,5,eval,1,1,5,1
normal,1,6,eval,1,1,6,1
normal,1,7,eval,1,1,7,1
normal,1,8,eval,1,1,8,1
normal,2,1,exemplar,,,,
normal,2,2,eval,2,1,3,1
normal,2,3,eval,2,1,4,1
normal,2,4,eval,2,1,5,1
normal,2,5,eval,2,1,6,1
normal,2,6,eval,2,1,7,1
normal,2,7,eval,2,1,8,1
normal,2,8,eval,2,1,1,1
normal,3,1,exemplar,,,,
normal,3,2,eval,3,1,4,1
normal,3,3,eval,3,1,5,1
normal,3,4,eval,3,1,6,1
normal,3,5,eval,3,1,7,1
normal,3,6,eval,3,1,8,1
normal,3,7,eval,3,1,1,1
normal,3,8,eval,3,1,2,1
normal,4,1,exemplar,,,,
normal,4,2,eval,4,1,5,1
normal,4,3,eval,4,1,6,1
normal,4,4,eval,4,1,7,1
normal,4,5,eval,4,1,8,1
normal,4,6,eval,4,1,1,1
normal,4,7,eval,4,1,2,1
normal,4,8,eval,4,1,3,1
normal,5,1,exemplar,,,,
normal,5,2,eval,5,1,6,1
normal,5,3,eval,5,1,7,1
normal,5,4,eval,5,1,8,1
normal,5,5,eval,5,1,1,1
normal,5,6,eval,5,1,2,1
normal,5,7,eval,5,1,3,1
normal,5,8,eval,5,1,4,1
normal,6,1,exemplar,,,,
normal,6,2,eval,6,1,7,1
normal,6,3,eval,6,1,8,1
normal,6,4,eval,6,1,1,1
normal,6,5,eval,6,1,2,1
normal,6,6,eval,6,1,3,1
normal,6,7,eval,6,1,4,1
normal,6,8,eval,6,1,5,1
normal,7,1,exemplar,,,,
normal,7,2,eval,7,1,8,1
normal,7,3,eval,7,1,1,1
normal,7,4,eval,7,1,2,1
normal,7,5,eval,7,1,3,1
normal,7,6,eval,7,1,4,1
normal,7,7,eval,7,1,5,1
normal,7,8,eval,7,1,6,1
normal,8,1,exemplar,,,,
normal,8,2,eval,8,1,1,1
normal,8,3,eval,8,1,2,1
normal,8,4,eval,8,1,3,1
normal,8,5,eval,8,1,4,1
normal,8,6,eval,8,1,5,1
normal,8,7,eval,8,1,6,1
normal,8,8,eval,8,1,7,1
handwriting,1,1,exemplar,,,,
handwriting,1,2,eval,1,1,2,1
handwriting,1,3,eval,1,1,3,1
handwriting,1,4,eval,1,1,4,1
handwriting,1,5,eval,1,1,5,1
handwriting,1,6,eval,1,1,6,1
handwriting,1,7,eval,1,1,7,1
handwriting,1,8,eval,1,1,8,1
handwriting,2,1,exemplar,,,,
handwriting,2,2,eval,2,1,3,1
handwriting,2,3,eval,2,1,4,1
handwriting,2,4,eval,2,1,5,1
handwriting,2,5,eval,2,1,6,1
handwriting,2,6,eval,2,1,7,1
handwriting,2,7,eval,2,1,8,1
handwriting,2,8,eval,2,1,1,1
handwriting,3,1,exemplar,,,,
handwriting,3,2,eval,3,1,4,1
handwriting,3,3,eval,3,1,5,1
handwriting,3,4,eval,3,1,6,1
handwriting,3,5,eval,3,1,7,1
handwriting,3,6,eval,3,1,8,1
handwriting,3,7,eval,3,1,1,1
handwriting,3,8,eval,3,1,2,1
handwriting,4,1,exemplar,,,,
handwriting,4,2,eval,4,1,5,1
handwriting,4,3,eval,4,1,6,1
handwriting,4,4,eval,4,1,7,1
handwriting,4,5,eval,4,1,8,1
handwriting,4,6,eval,4,1,1,1
handwriting,4,7,eval,4,1,2,1
handwriting,4,8,eval,4,1,3,1
handwriting,5,1,exemplar,,,,
handwriting,5,2,eval,5,1,6,1
handwriting,5,3,eval,5,1,7,1
handwriting,5,4,eval,5,1,8,1
